File,Tempo_Esecuzione_s,Picco_Memoria_MB,CPU_Media_%,MHS_Trovati,Ipotesi_Generate,Livelli_Esplorati,Max_Livello_Size,Complessità_Temporale,Complessità_Spaziale
74181.000_perm_00.matrix,1.465,61.2,90.6,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_01.matrix,1.396,61.4,86.2,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_02.matrix,1.718,61.5,92.7,271,2885,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_03.matrix,1.382,61.6,87.4,271,2882,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_04.matrix,1.615,61.7,90.4,271,2867,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_05.matrix,1.389,61.7,86.1,271,2857,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_06.matrix,1.569,61.8,86.2,271,2956,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_07.matrix,1.419,61.9,91.0,271,2746,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_08.matrix,1.494,61.9,91.8,271,2915,0,0,O(n^k) - polynomial,O(n) - linear
74181.000_perm_09.matrix,1.384,62.0,88.4,271,2735,0,0,O(n^k) - polynomial,O(n) - linear
