file,matrix_size,reduced_size,mhs_count,computation_time,hypotheses_generated,levels_explored,max_level_size,timeout,size_limit,file_size_mb,ones_count
74181.000.matrix,3×66,3×33,271,3.8678481578826904,2867,3,2356,False,False,0.0010528564453125,54
74181.001.matrix,2×66,2×24,95,0.028331518173217773,260,2,236,False,False,0.0009250640869140625,29
74181.002.matrix,2×66,2×24,23,0.018339157104492188,187,2,163,False,False,0.0009250640869140625,34
74181.003.matrix,2×66,2×10,1,0.0026416778564453125,55,2,45,False,False,0.0009241104125976562,11
74181.004.matrix,2×66,2×15,14,0.004027128219604492,59,2,44,False,False,0.0009250640869140625,25
74181.005.matrix,4×66,4×26,42,0.21886014938354492,1227,4,519,False,False,0.0011806488037109375,68
74181.006.matrix,2×66,2×17,29,0.021456241607666016,147,2,130,False,False,0.0009241104125976562,18
74181.007.matrix,2×66,2×5,5,0.002753019332885742,15,2,10,False,False,0.0009241104125976562,6
74181.008.matrix,3×66,3×19,1,0.7843327522277832,1006,3,816,False,False,0.0010519027709960938,23
74181.009.matrix,3×66,3×23,68,0.15210890769958496,730,3,480,False,False,0.0010528564453125,41
